-29.37935, 152.97152, BY-BS-01
-29.38235, 152.96953, BY-US-01
-29.38238, 152.99271, BY-US-02
-29.37993, 152.99109, BY-BS-02
-29.38180, 153.00101, BY-US-03
-29.37831, 153.00122, BY-BS-03
-29.47497, 152.33365, WP-BR-01
-29.47539, 152.33475, WP-UR-01
-29.47405, 152.33317, WP-BR-02
-29.47416, 152.33453, WP-UR-02
-29.47404, 152.33342, 016
-29.47404, 152.33342, 017
-29.47405, 152.33343, 018
-29.47405, 152.33344, 019
-29.47406, 152.33345, 020
-29.47406, 152.33346, 021
-29.47406, 152.33346, 022
-33.82809, 151.20543, 004
-28.56671, 153.31168, QUOLL
-28.56153, 153.31546, NC03EDIT
-28.56310, 153.31261, NC01EDIT
-28.56888, 153.31139, CP
-28.56537, 153.31374, NC-BR-01
-28.56374, 153.31387, T1-01-UR
-28.56498, 153.31506, NC-BR-02
-28.56427, 153.31542, NC-UR-02
-28.57715, 153.35193, BF-UR-EH2
-28.58118, 153.36098, BF-UR-01
-28.58241, 153.36094, BF-BR-01
-28.58246, 153.35471, BF-UR-BFEH3
-28.56602, 153.31297, NC-UR-01
-28.57823, 153.33206, INT
-28.57415, 153.33192, GG-BR-01
-28.57415, 153.33192, GG-BR-01
-28.57403, 153.33336, GG-UR-01
-28.57637, 153.33210, GG-2
-28.57652, 153.33298, GG-UR-2
-28.57616, 153.33164, GG-BR-02
-28.34934, 152.71634, BR-UR-01
-28.34405, 152.71195, BR-BR-02
-28.34542, 152.71283, BR-BR-03
-28.34693, 152.71242, BR-UR-02
-28.34734, 152.71413, BR-UR-03
-28.37140, 152.75528, BR-BR-04-ED
-28.37223, 152.75636, BR-BR-05
-28.37152, 152.75738, BR-UR-05
-28.37007, 152.75561, BR-UR-04
-28.48215, 152.40132, TL-UR-01
-28.47954, 152.40223, 009
-28.60640, 153.32706, GG-UR-04
-28.57882, 153.33191, GG-UR-03
-28.57805, 153.33089, GG-BR-03
-28.35016, 152.71683, BR-BR-01
-28.51289, 152.35502, TL-US-02
-28.50669, 152.36101, TL-BS-02
-28.50410, 152.36208, TL-US-03
-28.51468, 152.35282, TL-US-01
-28.49172, 152.37166, TL-BS-03
-28.51084, 152.35974, TL-BS-01
-29.05958, 152.71095, MP-OPTION
-29.05244, 152.72817, MP-BS-01
-29.04936, 152.72840, MP-US-01
-29.05980, 152.71152, MP-US-02
-29.05917, 152.70983, MP-BS-02
-28.82305, 152.25917, GL-BS-01
-28.82358, 152.25763, GL-US-01
-28.82611, 152.26036, GL-BS-02
-28.82651, 152.25853, GL-US-02
-28.87809, 152.28963, GL-US-03
-28.87840, 152.29175, GL-BS-03
-28.88227, 152.27762, GL-US-04
-28.88302, 152.27940, GL-BS-04
-28.92435, 152.26003, GI-US-01
-28.92465, 152.26316, GI-BS-01
-28.92066, 152.26491, GI-US-02
-28.91930, 152.26756, GI-BS-02
-28.91610, 152.26296, GI-US-03
-28.91557, 152.26582, GI-BS-03
-28.91281, 152.26380, GI-US-04
-28.91269, 152.26639, GI-BS-04
-28.91047, 152.26395, GI-US-05
-28.90999, 152.26642, GI-BS-05
-28.54060, 153.29325, STARTFIRE
-28.53959, 153.30062, UREDGE
-28.54046, 153.30116, MN-UR-01
-28.53931, 153.30027, MN-BR-01
-29.44689, 152.84166, 011
-29.44740, 152.84599, 012
-29.44624, 152.84676, FC-BS-01
-29.44876, 152.84543, FC-US-01
-29.44744, 152.84125, FC-US-02
-29.44534, 152.84221, FC-BS-02
-29.44376, 152.83849, 013
-29.44345, 152.83972, FC-BS-03
-29.44381, 152.83728, FC-US-03
-29.38014, 153.00162, 014
-29.38107, 152.99159, 015
