,Species,X9_Family_common_name_2,X10_Family_scientific_name_2,Understorey,Canopy,Midstorey,Ground,Flyover,,
80,Sacred Kingfisher,Kingfishers,Alcedinidae,NA,1,NA,NA,NA,1,1
23,Australian Logrunner,Logrunners,Orthonychidae,1,NA,NA,NA,NA,1,1
2,Albert's Lyrebird,Lyrebirds,Menuridae,NA,NA,NA,NA,NA,0,0
99,Superb Lyrebird,Lyrebirds,Menuridae,NA,NA,NA,NA,NA,0,0
15,Australian Brush-turkey,Megapodes,Megapodiidae,NA,NA,NA,1,NA,1,1
79,Restless Flycatcher,Monarch and Flycatchers,Monarchidae,NA,NA,NA,NA,NA,0,0
66,Leaden Flycatcher,Monarch and Flycatchers,Monarchidae,NA,1,NA,NA,NA,1,1
7,Black-faced Monarch,Monarch and Flycatchers,Monarchidae,NA,1,1,NA,NA,2,2
37,Spectacled Monarch,Monarch and Flycatchers,Monarchidae,NA,1,1,NA,NA,2,2
43,Australasian Figbird,Orioles and Figbirds,Oriolidae,NA,1,NA,NA,NA,1,1
39,Olive-backed Oriole,Orioles and Figbirds,Oriolidae,1,1,NA,NA,NA,2,2
68,Australian Owlet-nightjar,Owlet-nightjars,Aegothelidae,NA,NA,NA,NA,NA,0,0
74,Spotted Pardalote,Pardalotes,Pardalotidae,NA,NA,NA,NA,NA,0,0
40,Rainbow Lorikeet,"Parrots, Lorikeets and Rosellas",Psittaculidae,NA,NA,NA,NA,1,1,0
72,Musk Lorikeet,"Parrots, Lorikeets and Rosellas",Psittaculidae,NA,NA,NA,NA,1,1,0
84,Eastern Rosella,"Parrots, Lorikeets and Rosellas",Psittaculidae,NA,NA,NA,NA,NA,0,0
16,Crimson Rosella,"Parrots, Lorikeets and Rosellas",Psittaculidae,NA,1,NA,NA,1,2,1
52,Little Lorikeet,"Parrots, Lorikeets and Rosellas",Psittaculidae,NA,1,NA,NA,1,2,1
73,Scaly-breasted Lorikeet,"Parrots, Lorikeets and Rosellas",Psittaculidae,NA,1,NA,NA,1,2,1
30,Australian King-Parrot,"Parrots, Lorikeets and Rosellas",Psittaculidae,NA,1,1,NA,1,3,2
62,Peaceful Dove,Pigeons and Doves,Columbidae,NA,NA,NA,NA,NA,0,0
88,Bar-shouldered Dove,Pigeons and Doves,Columbidae,NA,NA,NA,NA,1,1,0
6,Wonga Pigeon,Pigeons and Doves,Columbidae,NA,NA,NA,1,NA,1,1
10,Topknot Pigeon,Pigeons and Doves,Columbidae,NA,1,NA,NA,1,2,1
20,Superb Fruit-Dove,Pigeons and Doves,Columbidae,NA,1,NA,NA,NA,1,1
21,Wompoo Fruit-Dove,Pigeons and Doves,Columbidae,NA,1,NA,NA,1,2,1
26,Rose-crowned Fruit-Dove,Pigeons and Doves,Columbidae,NA,1,NA,NA,NA,1,1
46,White-headed Pigeon,Pigeons and Doves,Columbidae,NA,1,NA,NA,1,2,1
48,Brown-capped Emerald Dove,Pigeons and Doves,Columbidae,NA,NA,1,NA,1,2,1
3,Brown Cuckoo-Dove,Pigeons and Doves,Columbidae,1,1,1,NA,1,4,3
42,Noisy Pitta,Pittas,Pittidae,NA,NA,1,1,NA,2,2
86,Varied Sittella,Sittellas,Neosittidae,NA,1,NA,NA,NA,1,1
58,Fairy Martin,Swallows and Martins,Hirundinidae,NA,NA,NA,NA,NA,0,0
89,Welcome Swallow,Swallows and Martins,Hirundinidae,NA,NA,NA,NA,1,1,0
61,White-throated Needletail,Swifts and Swiftlets,Apodidae,NA,NA,NA,NA,1,1,0
5,White-browed Scrubwren,Thornbills and Gerygones,Acanthizidae,1,NA,1,NA,NA,2,2
8,Brown Gerygone,Thornbills and Gerygones,Acanthizidae,NA,1,1,NA,NA,2,2
9,Brown Thornbill,Thornbills and Gerygones,Acanthizidae,1,1,NA,NA,NA,2,2
22,Large-billed Scrubwren,Thornbills and Gerygones,Acanthizidae,NA,1,1,NA,NA,2,2
29,Yellow-throated Scrubwren,Thornbills and Gerygones,Acanthizidae,1,NA,NA,1,NA,2,2
67,White-throated Gerygone,Thornbills and Gerygones,Acanthizidae,NA,1,1,NA,NA,2,2
27,Russet-tailed Thrush,Thrushes,Turdidae,NA,NA,NA,NA,NA,0,0
14,White-throated Treecreeper,Treecreepers,Climacteridae,NA,1,1,NA,NA,2,2
36,Silvereye,True Babblers,Zosteropidae,NA,1,1,NA,1,3,2
59,Red-browed Finch,Weaver Finches,Estrildidae,1,NA,1,NA,NA,2,2
96,Spotted Quail-thrush,Whipbirds and Wedgebills,Cinclosomatidae,NA,NA,NA,NA,NA,0,0
33,Eastern Whipbird,Whipbirds and Wedgebills,Psophodidae,1,NA,NA,NA,NA,1,1
11,Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephalidae,NA,NA,1,NA,NA,1,1
76,Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Pachycephalidae,1,NA,NA,NA,NA,1,1
35,Grey Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Pachycephalidae,NA,1,1,NA,NA,2,2
54,Rufous Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephalidae,NA,1,1,NA,NA,2,2
63,Dusky Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamidae,NA,NA,NA,NA,NA,0,0
25,Pied Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamidae,NA,1,NA,NA,NA,1,1
51,Grey Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamidae,NA,1,NA,NA,NA,1,1
78,Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamidae,NA,NA,1,NA,NA,1,1
